,horizon,prediction,observed,basin_id
277,8,1.6545775,3.63,CA_15013
278,9,1.7111449,2.9299996,CA_15013
279,10,1.7667658,2.1999998,CA_15013
280,1,1.2233049,1.17,CA_15013
281,2,1.2512043,1.3,CA_15013
282,3,1.2945437,2.06,CA_15013
283,4,1.34931,2.48,CA_15013
284,5,1.3957305,2.48,CA_15013
285,6,1.4447987,3.0799997,CA_15013
286,7,1.4982142,3.63,CA_15013
287,8,1.545171,2.9299996,CA_15013
288,9,1.5850403,2.1999998,CA_15013
289,10,1.6254897,2.33,CA_15013
290,1,1.267113,1.3,CA_15013
291,2,1.2677337,2.06,CA_15013
292,3,1.294098,2.48,CA_15013
293,4,1.3372502,2.48,CA_15013
294,5,1.3805424,3.0799997,CA_15013
295,6,1.4304062,3.63,CA_15013
296,7,1.4859234,2.9299996,CA_15013
297,8,1.5348597,2.1999998,CA_15013
298,9,1.5762991,2.33,CA_15013
299,10,1.6160388,3.8299997,CA_15013
300,1,1.3947804,2.06,CA_15013
301,2,1.3883106,2.48,CA_15013
302,3,1.411197,2.48,CA_15013
303,4,1.4535716,3.0799997,CA_15013
304,5,1.4979542,3.63,CA_15013
305,6,1.5494837,2.9299996,CA_15013
306,7,1.6072215,2.1999998,CA_15013
307,8,1.6575686,2.33,CA_15013
308,9,1.7004263,3.8299997,CA_15013
309,10,1.7416164,3.63,CA_15013
310,1,1.933999,2.48,CA_15013
311,2,1.8902285,2.48,CA_15013
312,3,1.8904587,3.0799997,CA_15013
313,4,1.9238577,3.63,CA_15013
314,5,1.9627298,2.9299996,CA_15013
315,6,2.0146725,2.1999998,CA_15013
316,7,2.081318,2.33,CA_15013
317,8,2.141069,3.8299997,CA_15013
318,9,2.1925688,3.63,CA_15013
319,10,2.243353,5.0699997,CA_15013
320,1,2.4006698,2.48,CA_15013
321,2,2.3932076,3.0799997,CA_15013
322,3,2.4296963,3.63,CA_15013
323,4,2.507564,2.9299996,CA_15013
324,5,2.583023,2.1999998,CA_15013
325,6,2.6693766,2.33,CA_15013
326,7,2.775526,3.8299997,CA_15013
327,8,2.870269,3.63,CA_15013
328,9,2.9538195,5.0699997,CA_15013
329,10,3.0345767,3.8299997,CA_15013
330,1,2.5313196,3.0799997,CA_15013
331,2,2.5380275,3.63,CA_15013
332,3,2.595346,2.9299996,CA_15013
333,4,2.7027228,2.1999998,CA_15013
334,5,2.8032491,2.33,CA_15013
335,6,2.9171484,3.8299997,CA_15013
336,7,3.0554035,3.63,CA_15013
337,8,3.1799848,5.0699997,CA_15013
338,9,3.2898653,3.8299997,CA_15013
339,10,3.396873,2.9299996,CA_15013
340,1,3.1111429,3.63,CA_15013
341,2,3.1430955,2.9299996,CA_15013
342,3,3.233303,2.1999998,CA_15013
343,4,3.3893034,2.33,CA_15013
344,5,3.5325127,3.8299997,CA_15013
345,6,3.6895957,3.63,CA_15013
346,7,3.8799448,5.0699997,CA_15013
347,8,4.051204,3.8299997,CA_15013
348,9,4.2037444,2.9299996,CA_15013
349,10,4.3518634,3.0799997,CA_15013
