,horizon,prediction,observed,basin_id
257,8,1.548125,2.48,CA_15013
258,9,1.6135081,3.0799997,CA_15013
259,10,1.6761997,3.63,CA_15013
260,1,0.900563,0.89,CA_15013
261,2,0.9748059,1.0300001,CA_15013
262,3,1.065485,1.17,CA_15013
263,4,1.1750314,1.3,CA_15013
264,5,1.2895365,2.06,CA_15013
265,6,1.4127841,2.48,CA_15013
266,7,1.5249853,2.48,CA_15013
267,8,1.6201975,3.0799997,CA_15013
268,9,1.7028006,3.63,CA_15013
269,10,1.7832232,2.9299996,CA_15013
270,1,1.0857638,1.0300001,CA_15013
271,2,1.1556047,1.17,CA_15013
272,3,1.2340511,1.3,CA_15013
273,4,1.3322449,2.06,CA_15013
274,5,1.4367297,2.48,CA_15013
275,6,1.5496464,2.48,CA_15013
276,7,1.654799,3.0799997,CA_15013
277,8,1.7424738,3.63,CA_15013
278,9,1.8201115,2.9299996,CA_15013
279,10,1.8971275,2.1999998,CA_15013
280,1,1.2071128,1.17,CA_15013
281,2,1.267421,1.3,CA_15013
282,3,1.3333077,2.06,CA_15013
283,4,1.421682,2.48,CA_15013
284,5,1.5191189,2.48,CA_15013
285,6,1.6246171,3.0799997,CA_15013
286,7,1.725981,3.63,CA_15013
287,8,1.8124747,2.9299996,CA_15013
288,9,1.8879131,2.1999998,CA_15013
289,10,1.9642411,2.33,CA_15013
290,1,1.2414287,1.3,CA_15013
291,2,1.2836953,2.06,CA_15013
292,3,1.331237,2.48,CA_15013
293,4,1.4018538,2.48,CA_15013
294,5,1.4845266,3.0799997,CA_15013
295,6,1.5744975,3.63,CA_15013
296,7,1.6636287,2.9299996,CA_15013
297,8,1.7373977,2.1999998,CA_15013
298,9,1.8034315,2.33,CA_15013
299,10,1.8688451,3.8299997,CA_15013
300,1,1.3051084,2.06,CA_15013
301,2,1.3648365,2.48,CA_15013
302,3,1.4327809,2.48,CA_15013
303,4,1.5246196,3.0799997,CA_15013
304,5,1.6318318,3.63,CA_15013
305,6,1.7413017,2.9299996,CA_15013
306,7,1.8517004,2.1999998,CA_15013
307,8,1.9405625,2.33,CA_15013
308,9,2.0211532,3.8299997,CA_15013
309,10,2.097197,3.63,CA_15013
310,1,1.8425016,2.48,CA_15013
311,2,1.899962,2.48,CA_15013
312,3,1.975908,3.0799997,CA_15013
313,4,2.0768101,3.63,CA_15013
314,5,2.2034583,2.9299996,CA_15013
315,6,2.3182423,2.1999998,CA_15013
316,7,2.439337,2.33,CA_15013
317,8,2.534829,3.8299997,CA_15013
318,9,2.624323,3.63,CA_15013
319,10,2.69422,5.0699997,CA_15013
320,1,2.2356431,2.48,CA_15013
321,2,2.2919974,3.0799997,CA_15013
322,3,2.3742118,3.63,CA_15013
323,4,2.4917617,2.9299996,CA_15013
324,5,2.6429265,2.1999998,CA_15013
325,6,2.7780716,2.33,CA_15013
326,7,2.9204957,3.8299997,CA_15013
327,8,3.0329514,3.63,CA_15013
328,9,3.1422575,5.0699997,CA_15013
329,10,3.2239275,3.8299997,CA_15013
330,1,2.3924956,3.0799997,CA_15013
331,2,2.434586,3.63,CA_15013
332,3,2.5095973,2.9299996,CA_15013
333,4,2.6272388,2.1999998,CA_15013
334,5,2.7817314,2.33,CA_15013
335,6,2.9248207,3.8299997,CA_15013
336,7,3.0739052,3.63,CA_15013
337,8,3.1925733,5.0699997,CA_15013
338,9,3.3079934,3.8299997,CA_15013
339,10,3.3915796,2.9299996,CA_15013
340,1,2.8888483,3.63,CA_15013
341,2,2.9237432,2.9299996,CA_15013
342,3,2.9946568,2.1999998,CA_15013
343,4,3.110015,2.33,CA_15013
344,5,3.2626138,3.8299997,CA_15013
345,6,3.3987746,3.63,CA_15013
346,7,3.5393426,5.0699997,CA_15013
347,8,3.65911,3.8299997,CA_15013
348,9,3.772245,2.9299996,CA_15013
349,10,3.852795,3.0799997,CA_15013
350,1,3.3565052,2.9299996,CA_15013
351,2,3.3782482,2.1999998,CA_15013
352,3,3.4465785,2.33,CA_15013
353,4,3.5678346,3.8299997,CA_15013
354,5,3.7354448,3.63,CA_15013
355,6,3.881063,5.0699997,CA_15013
356,7,4.035789,3.8299997,CA_15013
357,8,4.1747236,2.9299996,CA_15013
358,9,4.3098917,3.0799997,CA_15013
359,10,4.405403,3.0799997,CA_15013
360,1,2.8179727,2.1999998,CA_15013
361,2,2.8334,2.33,CA_15013
362,3,2.9063103,3.8299997,CA_15013
363,4,3.0244005,3.63,CA_15013
364,5,3.1780658,5.0699997,CA_15013
365,6,3.3191051,3.8299997,CA_15013
366,7,3.4643257,2.9299996,CA_15013
367,8,3.5985343,3.0799997,CA_15013
368,9,3.7195556,3.0799997,CA_15013
369,10,3.805572,2.7799997,CA_15013
370,1,2.4089162,2.33,CA_15013
371,2,2.5515645,3.8299997,CA_15013
372,3,2.7555761,3.63,CA_15013
373,4,2.9975994,5.0699997,CA_15013
374,5,3.266281,3.8299997,CA_15013
