,horizon,prediction,observed,basin_id
248,9,3.6177087,3.2699997,CA_15013
249,10,3.4152482,3.2699997,CA_15013
250,1,3.0157862,3.8300002,CA_15013
251,2,3.302605,2.93,CA_15013
252,3,3.0835702,3.0799997,CA_15013
253,4,3.315596,3.0799997,CA_15013
254,5,3.27048,2.7799997,CA_15013
255,6,3.6330721,3.0799997,CA_15013
256,7,3.519925,3.0799997,CA_15013
257,8,3.4935021,3.2699997,CA_15013
258,9,3.5890818,3.2699997,CA_15013
259,10,3.646332,4.2,CA_15013
260,1,3.5342286,2.93,CA_15013
261,2,3.5590262,3.0799997,CA_15013
262,3,3.5679827,3.0799997,CA_15013
263,4,3.5728862,2.7799997,CA_15013
264,5,3.3363197,3.0799997,CA_15013
265,6,3.6822283,3.0799997,CA_15013
266,7,3.5860713,3.2699997,CA_15013
267,8,3.9418578,3.2699997,CA_15013
268,9,3.8040066,4.2,CA_15013
269,10,3.8182058,4.2,CA_15013
270,1,3.1502469,3.0799997,CA_15013
271,2,3.334374,3.0799997,CA_15013
272,3,3.6265373,2.7799997,CA_15013
273,4,3.4315567,3.0799997,CA_15013
274,5,3.5964265,3.0799997,CA_15013
275,6,3.6794975,3.2699997,CA_15013
276,7,3.8790932,3.2699997,CA_15013
277,8,4.113636,4.2,CA_15013
278,9,4.1951723,4.2,CA_15013
279,10,4.181121,5.0700006,CA_15013
280,1,3.310157,3.0799997,CA_15013
281,2,3.4229684,2.7799997,CA_15013
282,3,3.764666,3.0799997,CA_15013
283,4,3.4961438,3.0799997,CA_15013
284,5,3.4992042,3.2699997,CA_15013
285,6,3.6412783,3.2699997,CA_15013
286,7,3.822242,4.2,CA_15013
287,8,4.02383,4.2,CA_15013
288,9,4.1348104,5.0700006,CA_15013
289,10,3.9889634,4.87,CA_15013
290,1,2.8634722,2.7799997,CA_15013
291,2,3.2408357,3.0799997,CA_15013
292,3,3.5492632,3.0799997,CA_15013
293,4,3.3653166,3.2699997,CA_15013
294,5,3.4102702,3.2699997,CA_15013
295,6,3.564963,4.2,CA_15013
296,7,3.8087077,4.2,CA_15013
297,8,3.9299052,5.0700006,CA_15013
298,9,3.9091167,4.87,CA_15013
299,10,4.050637,5.0700006,CA_15013
300,1,2.2632527,3.0799997,CA_15013
301,2,2.793965,3.0799997,CA_15013
302,3,3.0172093,3.2699997,CA_15013
303,4,2.8586178,3.2699997,CA_15013
304,5,3.1245267,4.2,CA_15013
305,6,3.0287893,4.2,CA_15013
306,7,3.2969928,5.0700006,CA_15013
307,8,3.6561894,4.87,CA_15013
308,9,3.52255,5.0700006,CA_15013
309,10,3.6829433,5.5,CA_15013
310,1,2.446217,3.0799997,CA_15013
311,2,2.9623551,3.2699997,CA_15013
312,3,3.5481246,3.2699997,CA_15013
313,4,3.328357,4.2,CA_15013
314,5,3.6418555,4.2,CA_15013
315,6,3.6585307,5.0700006,CA_15013
316,7,4.031295,4.87,CA_15013
317,8,4.10421,5.0700006,CA_15013
318,9,4.0374913,5.5,CA_15013
319,10,4.0519223,4.63,CA_15013
320,1,2.7305236,3.2699997,CA_15013
321,2,3.1345298,3.2699997,CA_15013
322,3,3.535985,4.2,CA_15013
323,4,3.444799,4.2,CA_15013
324,5,3.8777242,5.0700006,CA_15013
325,6,3.8648188,4.87,CA_15013
326,7,4.093245,5.0700006,CA_15013
327,8,4.2734814,5.5,CA_15013
328,9,4.2706685,4.63,CA_15013
329,10,4.2680955,4.0,CA_15013
330,1,2.8811603,3.2699997,CA_15013
331,2,3.2075543,4.2,CA_15013
332,3,3.653031,4.2,CA_15013
333,4,3.5854301,5.0700006,CA_15013
334,5,3.841435,4.87,CA_15013
335,6,3.776741,5.0700006,CA_15013
336,7,3.844397,5.5,CA_15013
337,8,4.163232,4.63,CA_15013
338,9,4.0767255,4.0,CA_15013
339,10,4.1455054,3.4699998,CA_15013
340,1,3.1746092,4.2,CA_15013
341,2,3.572467,4.2,CA_15013
342,3,3.7013583,5.0700006,CA_15013
343,4,3.6321974,4.87,CA_15013
344,5,3.918182,5.0700006,CA_15013
345,6,3.9351902,5.5,CA_15013
346,7,4.023742,4.63,CA_15013
347,8,4.3546157,4.0,CA_15013
348,9,4.1338387,3.4699998,CA_15013
349,10,4.072694,3.2699997,CA_15013
