,horizon,prediction,observed,basin_id
438,9,4.2630625,3.63,CA_15013
439,10,4.1722655,2.7799997,CA_15013
440,1,4.267359,3.0799997,CA_15013
441,2,4.3937006,2.9299996,CA_15013
442,3,4.407478,3.4699998,CA_15013
443,4,4.2806644,3.63,CA_15013
444,5,4.358144,3.0799997,CA_15013
445,6,4.4113894,3.0799997,CA_15013
446,7,4.4247417,3.8299997,CA_15013
447,8,4.2632318,3.63,CA_15013
448,9,4.2869844,2.7799997,CA_15013
449,10,4.196164,2.7799997,CA_15013
450,1,4.080552,2.9299996,CA_15013
451,2,4.2009315,3.4699998,CA_15013
452,3,4.2220073,3.63,CA_15013
453,4,4.105675,3.0799997,CA_15013
454,5,4.178066,3.0799997,CA_15013
455,6,4.2111063,3.8299997,CA_15013
456,7,4.2026577,3.63,CA_15013
457,8,4.046336,2.7799997,CA_15013
458,9,4.076532,2.7799997,CA_15013
459,10,4.0003443,2.9299996,CA_15013
460,1,4.043522,3.4699998,CA_15013
461,2,4.159454,3.63,CA_15013
462,3,4.1775274,3.0799997,CA_15013
463,4,4.054203,3.0799997,CA_15013
464,5,4.116432,3.8299997,CA_15013
465,6,4.148216,3.63,CA_15013
466,7,4.137183,2.7799997,CA_15013
467,8,3.9807024,2.7799997,CA_15013
468,9,4.0136485,2.9299996,CA_15013
469,10,3.9343255,2.7799997,CA_15013
470,1,4.210029,3.63,CA_15013
471,2,4.3411317,3.0799997,CA_15013
472,3,4.337381,3.0799997,CA_15013
473,4,4.2150416,3.8299997,CA_15013
474,5,4.241483,3.63,CA_15013
475,6,4.2617884,2.7799997,CA_15013
476,7,4.2598443,2.7799997,CA_15013
477,8,4.1228776,2.9299996,CA_15013
478,9,4.1451645,2.7799997,CA_15013
479,10,4.0613275,2.9299996,CA_15013
480,1,4.184966,3.0799997,CA_15013
481,2,4.314976,3.0799997,CA_15013
482,3,4.295618,3.8299997,CA_15013
483,4,4.1780186,3.63,CA_15013
484,5,4.184673,2.7799997,CA_15013
485,6,4.197147,2.7799997,CA_15013
486,7,4.197358,2.9299996,CA_15013
487,8,4.068819,2.7799997,CA_15013
488,9,4.0878406,2.9299996,CA_15013
489,10,4.0103936,2.9299996,CA_15013
490,1,3.818148,3.0799997,CA_15013
491,2,3.9081898,3.8299997,CA_15013
492,3,3.8864546,3.63,CA_15013
493,4,3.7865257,2.7799997,CA_15013
494,5,3.798956,2.7799997,CA_15013
495,6,3.80938,2.9299996,CA_15013
496,7,3.800008,2.7799997,CA_15013
497,8,3.671869,2.9299996,CA_15013
498,9,3.6867678,2.9299996,CA_15013
499,10,3.6294599,2.9299996,CA_15013
500,1,3.815917,3.8299997,CA_15013
501,2,3.9096568,3.63,CA_15013
502,3,3.8869731,2.7799997,CA_15013
503,4,3.7729683,2.7799997,CA_15013
504,5,3.8007405,2.9299996,CA_15013
505,6,3.8165507,2.7799997,CA_15013
506,7,3.8063161,2.9299996,CA_15013
507,8,3.6532564,2.9299996,CA_15013
508,9,3.6654825,2.9299996,CA_15013
