gauge_id,cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,cluster_12_prob,cluster_13_prob,cluster_14_prob,predicted_cluster
CA_15045,0.056666666666666664,0.006666666666666667,0.04,0.043333333333333335,0.043333333333333335,0.006666666666666667,0.02,0.0,0.023333333333333334,0.0033333333333333335,0.05333333333333334,0.0,0.016666666666666666,0.22333333333333333,0.4633333333333333,14
CA_15049,0.08666666666666667,0.03,0.06333333333333334,0.13333333333333333,0.11,0.01,0.08333333333333333,0.0,0.06,0.0,0.09333333333333334,0.006666666666666667,0.0033333333333333335,0.11333333333333333,0.20666666666666667,14
CA_15051,0.11,0.016666666666666666,0.05,0.14666666666666667,0.11666666666666667,0.013333333333333334,0.05333333333333334,0.0,0.07,0.0033333333333333335,0.03333333333333333,0.0,0.02666666666666667,0.13666666666666666,0.22333333333333333,14
CA_15054,0.09333333333333334,0.02,0.04666666666666667,0.14666666666666667,0.13,0.013333333333333334,0.056666666666666664,0.0,0.07333333333333333,0.0033333333333333335,0.04666666666666667,0.0,0.03,0.12333333333333334,0.21666666666666667,14
CA_15069,0.08666666666666667,0.03,0.06333333333333334,0.11,0.10666666666666667,0.01,0.06666666666666667,0.0,0.04666666666666667,0.0,0.14666666666666667,0.0033333333333333335,0.0033333333333333335,0.08666666666666667,0.24,14
CA_15070,0.07333333333333333,0.016666666666666666,0.06333333333333334,0.11,0.11666666666666667,0.01,0.05333333333333334,0.0,0.06,0.0,0.15666666666666668,0.0,0.0033333333333333335,0.1,0.23666666666666666,14
CA_15081,0.056666666666666664,0.016666666666666666,0.05,0.07333333333333333,0.08333333333333333,0.0033333333333333335,0.02666666666666667,0.0,0.04,0.0,0.20333333333333334,0.0,0.0033333333333333335,0.12666666666666668,0.31666666666666665,14
CA_15083,0.06333333333333334,0.02,0.06333333333333334,0.07333333333333333,0.07333333333333333,0.006666666666666667,0.03333333333333333,0.0,0.04666666666666667,0.0,0.18,0.0,0.0033333333333333335,0.13,0.30666666666666664,14
CA_15090,0.06,0.03,0.06333333333333334,0.09,0.11666666666666667,0.01,0.06,0.0,0.05333333333333334,0.0,0.10333333333333333,0.0033333333333333335,0.0033333333333333335,0.11666666666666667,0.29,14
CA_15102,0.07666666666666666,0.03333333333333333,0.03,0.14,0.08,0.01,0.043333333333333335,0.0,0.08666666666666667,0.0,0.06,0.0033333333333333335,0.02,0.19333333333333333,0.22333333333333333,14
CA_15149,0.06666666666666667,0.013333333333333334,0.05333333333333334,0.06666666666666667,0.08666666666666667,0.01,0.043333333333333335,0.0,0.04666666666666667,0.0,0.13666666666666666,0.006666666666666667,0.0033333333333333335,0.15,0.31666666666666665,14
CA_15171,0.02666666666666667,0.023333333333333334,0.07666666666666666,0.07333333333333333,0.07333333333333333,0.006666666666666667,0.06333333333333334,0.0,0.06,0.0,0.07333333333333333,0.0,0.006666666666666667,0.10333333333333333,0.41333333333333333,14
CA_15189,0.04666666666666667,0.023333333333333334,0.06666666666666667,0.07333333333333333,0.06333333333333334,0.0033333333333333335,0.04666666666666667,0.0,0.043333333333333335,0.0,0.08,0.0,0.0,0.11,0.44333333333333336,14
CA_15194,0.05,0.02,0.03333333333333333,0.07666666666666666,0.08333333333333333,0.0033333333333333335,0.043333333333333335,0.0,0.03666666666666667,0.0,0.08,0.0,0.0,0.12,0.4533333333333333,14
CA_15212,0.04666666666666667,0.013333333333333334,0.06,0.056666666666666664,0.07,0.0,0.06,0.0,0.03,0.0,0.06666666666666667,0.0033333333333333335,0.0,0.15333333333333332,0.44,14
CA_15214,0.05,0.016666666666666666,0.05,0.06,0.08333333333333333,0.0033333333333333335,0.06333333333333334,0.0,0.03333333333333333,0.0,0.07666666666666666,0.0033333333333333335,0.0,0.13333333333333333,0.4266666666666667,14
CA_15215,0.05,0.016666666666666666,0.06,0.06666666666666667,0.07333333333333333,0.0,0.05333333333333334,0.0,0.03,0.0,0.08,0.006666666666666667,0.0,0.14333333333333334,0.42,14
CA_15216,0.03333333333333333,0.02,0.05333333333333334,0.09333333333333334,0.056666666666666664,0.0033333333333333335,0.04,0.0,0.06,0.0,0.11666666666666667,0.0,0.0,0.11,0.41333333333333333,14
