gauge_id,cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,predicted_cluster
CA_16101,0.4104459150592155,0.04815613026819923,0.024094827586206895,0.0051375626289419385,0.030261512539758208,0.009450091575091574,0.05753971785228738,0.08228739316239317,0.01657051282051282,0.10538781558942847,0.21066852091796473,0
CA_16105,0.14729876764557606,0.1038961999184318,0.050175918249998404,0.013044999977266603,0.08784710443440771,0.010527140815840507,0.06389805957929359,0.06783463662118018,0.03143451105138412,0.198191820755337,0.22585084095128397,10
CA_16121,0.28594661157388024,0.025491293532338307,0.01330952380952381,0.0248577694235589,0.045544677272618454,0.008440476190476191,0.03017964903648328,0.03026680672268907,0.02493102240896359,0.06786888762628678,0.4431632824031815,10
CA_16127,0.18806541776189442,0.035798712441931134,0.012180676328502418,0.014379243899636953,0.06123357157631872,0.010241413956887102,0.016487893549809885,0.05824839138553973,0.04062375297019826,0.11441191555334446,0.4483290105759368,10
CA_16134,0.10686607983404883,0.045289683564485345,0.03206953397464505,0.014389109223311767,0.11974063497542148,0.00803982372686473,0.034750068124518835,0.022076452342470656,0.03927414251327051,0.10711892747723624,0.4703855442437266,10
CA_16135,0.09906827400818202,0.05879419541150744,0.03381316631130064,0.012123065015479878,0.11533891085692971,0.0065219298245614045,0.06848538172396286,0.03430037214247741,0.03235077371029383,0.13803481863662045,0.4011691123586843,10
CA_16136,0.31821665283530076,0.018122245913290688,0.007944444444444443,0.00973048004626952,0.047641918266918264,0.01031547619047619,0.028790038646872892,0.031206709956709953,0.027386904761904765,0.08461704714650513,0.4160280817913074,10
CA_16139,0.14326047526468946,0.048065278672398015,0.018582405501229485,0.02423300271392208,0.0888581334942104,0.006468699257398947,0.06785701930032835,0.062495256211578774,0.021233082577896818,0.1638813076478305,0.355065339358517,10
CA_16143,0.08622115960888845,0.05500821215635963,0.03394501558744437,0.03368501556287598,0.11156451783515259,0.01547230744084291,0.07848308849741356,0.05400758480649785,0.03579460629925287,0.18970116632976922,0.3061173258755026,10
CA_16146,0.308614365861287,0.047126215738284696,0.0394995894909688,0.011546292787672099,0.044909636843243034,0.010700091575091575,0.05626001010483769,0.06487959671047906,0.025380036630036632,0.1255352564102564,0.26554890784784296,0
CA_16151,0.29308759880470403,0.0575656047169205,0.03525438596491228,0.012112179487179488,0.04548071817201669,0.008342948717948719,0.05638524402403858,0.05166217816411315,0.027850274725274727,0.13952432213772603,0.2727345450851658,0
CA_16153,0.42988460735171274,0.026489139515455305,0.05780107130571527,0.025458333333333333,0.04456150793650794,0.00011764705882352942,0.021706484348125214,0.04648526765632029,0.009678733031674207,0.08033485674971744,0.2574823517126149,0
CA_16158,0.4298808493777706,0.0439477969348659,0.03142816091954023,0.009321018062397372,0.04620237179881351,0.006208333333333332,0.016730920575748164,0.08982371794871793,0.013914377289377288,0.08069896801207481,0.23184348574736088,0
CA_16159,0.2373130950214567,0.1170012108670423,0.05215851328067309,0.006098012865024053,0.05495293957260623,0.012640236053935746,0.07576001063676363,0.0990595884816638,0.01361661645168377,0.13711911283254744,0.19428066393660312,0
CA_16160,0.44585590606711295,0.04315057471264368,0.03996149425287356,0.0040066102479895584,0.05967670460886061,0.006592948717948718,0.03129975369458128,0.08003739316239315,0.009475274725274725,0.07275577426888105,0.20718756554144066,0
