basin_id,horizon,group,MSE,MAE,NSE,RMSE
CA_16068,8,group2,0.055825792,0.09802182,0.7215284109115601,0.23627482
CA_16068,9,group2,0.05917933,0.10085766,0.7054283022880554,0.24326801
CA_16068,10,group2,0.061346903,0.1037618,0.6938847601413727,0.24768306
CA_16070,1,group2,0.097627945,0.23051995,0.8371137082576752,0.3124547
CA_16070,2,group2,0.1490304,0.27471763,0.7516301572322845,0.38604456
CA_16070,3,group2,0.19781679,0.30498812,0.6707115173339844,0.44476599
CA_16070,4,group2,0.23670067,0.3264727,0.6063377261161804,0.48651892
CA_16070,5,group2,0.26864412,0.34468067,0.5535998046398163,0.51830894
CA_16070,6,group2,0.29596105,0.36386374,0.5087404549121857,0.54402304
CA_16070,7,group2,0.32321456,0.37720704,0.46406376361846924,0.56851965
CA_16070,8,group2,0.35109803,0.38952333,0.4184311032295227,0.59253526
CA_16070,9,group2,0.37258327,0.39944556,0.38357222080230713,0.61039597
CA_16070,10,group2,0.38956523,0.40738344,0.3563078045845032,0.6241516
CA_16100,1,group2,0.23972362,0.33993694,0.8572543114423752,0.4896158
CA_16100,2,group2,0.29823068,0.3714492,0.8223952651023865,0.546105
CA_16100,3,group2,0.3742764,0.41098586,0.7770978808403015,0.61178136
CA_16100,4,group2,0.45218092,0.4509162,0.7307901978492737,0.672444
CA_16100,5,group2,0.51840013,0.48072037,0.6915010213851929,0.7200001
CA_16100,6,group2,0.5658136,0.49840692,0.6635257303714752,0.75220585
CA_16100,7,group2,0.6293383,0.52292925,0.6261135935783386,0.7933085
CA_16100,8,group2,0.70010906,0.55216134,0.5845965147018433,0.8367252
CA_16100,9,group2,0.76670986,0.5754969,0.5457184910774231,0.8756197
CA_16100,10,group2,0.8321401,0.59884775,0.5076445043087006,0.91221714
CA_16134,1,group2,0.2538153,0.24906357,0.8186293542385101,0.50380087
CA_16134,2,group2,0.27754128,0.28378415,0.8020202219486237,0.52682185
CA_16134,3,group2,0.30427465,0.30449703,0.7832600027322769,0.55161095
CA_16134,4,group2,0.33393914,0.32515663,0.7622435986995697,0.57787466
CA_16134,5,group2,0.34973577,0.33117855,0.7508878707885742,0.5913846
CA_16134,6,group2,0.35595518,0.33445793,0.7457757890224457,0.5966198
CA_16134,7,group2,0.36203134,0.33689597,0.7400836646556854,0.6016904
CA_16134,8,group2,0.37207556,0.34864804,0.732058197259903,0.60998
CA_16134,9,group2,0.38574353,0.35467854,0.721185177564621,0.62108254
CA_16134,10,group2,0.39860275,0.36384827,0.7111364305019379,0.6313499
CA_16143,1,group2,0.11416299,0.1805093,0.45555585622787476,0.33788013
CA_16143,2,group2,0.12558514,0.18801859,0.4113558530807495,0.35437992
CA_16143,3,group2,0.12224646,0.19450937,0.4361063838005066,0.3496376
CA_16143,4,group2,0.11184867,0.20165133,0.49064314365386963,0.33443785
CA_16143,5,group2,0.110238194,0.21096918,0.5021022856235504,0.3320214
CA_16143,6,group2,0.1085772,0.21562994,0.5133555233478546,0.32951054
CA_16143,7,group2,0.108586036,0.22002085,0.5168008506298065,0.32952395
CA_16143,8,group2,0.11059838,0.22864485,0.5111706852912903,0.33256334
CA_16143,9,group2,0.11194386,0.23619205,0.5082429647445679,0.33458012
CA_16143,10,group2,0.11476813,0.24322733,0.49886465072631836,0.33877444
CA_16176,1,group2,0.18613286,0.2919766,0.8728352189064026,0.43143117
CA_16176,2,group2,0.29444432,0.34855604,0.7988028228282928,0.5426272
CA_16176,3,group2,0.39463335,0.39253095,0.7303201854228973,0.6281985
CA_16176,4,group2,0.4853477,0.43074718,0.6683086454868317,0.696669
CA_16176,5,group2,0.5563852,0.45867613,0.619751513004303,0.7459123
CA_16176,6,group2,0.5929887,0.47195286,0.5947858989238739,0.7700576
CA_16176,7,group2,0.6461899,0.49259216,0.5586823225021362,0.8038594
CA_16176,8,group2,0.7133674,0.51848197,0.5131778120994568,0.8446108
CA_16176,9,group2,0.77543867,0.5403863,0.4712415933609009,0.88058996
CA_16176,10,group2,0.83050174,0.5616094,0.43414729833602905,0.91131866
CA_16205,1,group2,0.0602484,0.16835041,0.9185107201337814,0.2454555
CA_16205,2,group2,0.10446543,0.21792603,0.8584869205951691,0.32321113
CA_16205,3,group2,0.15035623,0.2590336,0.7960163354873657,0.38775796
CA_16205,4,group2,0.19435956,0.2923185,0.7359209656715393,0.4408623
CA_16205,5,group2,0.22721979,0.31338492,0.6907787919044495,0.47667578
CA_16205,6,group2,0.24767923,0.3266269,0.6623794436454773,0.4976738
CA_16205,7,group2,0.27517763,0.34423435,0.624273419380188,0.52457374
CA_16205,8,group2,0.30513853,0.35914057,0.5826697945594788,0.55239344
CA_16205,9,group2,0.33251378,0.3753717,0.5444766581058502,0.57664007
CA_16205,10,group2,0.3557135,0.38903248,0.5118629634380341,0.5964172
CA_17100,1,group2,0.013348952,0.062256243,0.9651336073875427,0.115537666
CA_17100,2,group2,0.029855536,0.093269825,0.9217130839824677,0.17278755
CA_17100,3,group2,0.048033044,0.12097707,0.8735914975404739,0.21916442
CA_17100,4,group2,0.06781051,0.14582403,0.8208997696638107,0.26040453
CA_17100,5,group2,0.086677134,0.16787912,0.7702385932207108,0.2944098
CA_17100,6,group2,0.10223704,0.18645547,0.7280845046043396,0.31974527
CA_17100,7,group2,0.114192024,0.19867481,0.6954144835472107,0.3379231
CA_17100,8,group2,0.12417498,0.20913212,0.667834997177124,0.35238472
CA_17100,9,group2,0.13296056,0.21977212,0.6433332860469818,0.36463758
CA_17100,10,group2,0.14030276,0.22711533,0.6224351525306702,0.3745701
CA_17288,1,group2,0.13596168,0.26841548,0.8808229863643646,0.36872983
CA_17288,2,group2,0.18206422,0.31126285,0.8399907052516937,0.42668983
CA_17288,3,group2,0.232515,0.349436,0.7950358539819717,0.4821981
CA_17288,4,group2,0.27860463,0.37930962,0.7535217702388763,0.5278301
CA_17288,5,group2,0.30988646,0.40118542,0.7247126996517181,0.5566745
CA_17288,6,group2,0.32935175,0.41811642,0.7063093483448029,0.57389176
CA_17288,7,group2,0.35742283,0.43696898,0.6801370084285736,0.5978485
CA_17288,8,group2,0.38375854,0.45224735,0.6553628444671631,0.61948246
CA_17288,9,group2,0.41472885,0.4712188,0.6261929869651794,0.64399445
CA_17288,10,group2,0.44271567,0.48811275,0.5993925333023071,0.66536885
CA_17325,1,group2,0.29771987,0.35857207,0.9253856018185616,0.54563713
CA_17325,2,group2,0.40551564,0.4181188,0.8982480242848396,0.6368011
CA_17325,3,group2,0.5289118,0.47089306,0.8671343177556992,0.7272633
CA_17325,4,group2,0.6501495,0.5172934,0.8365063369274139,0.8063185
CA_17325,5,group2,0.74525154,0.5497553,0.8124049603939056,0.8632795
CA_17325,6,group2,0.7862542,0.5621284,0.8018820583820343,0.88670975
CA_17325,7,group2,0.8503702,0.58401763,0.7855283170938492,0.9221552
CA_17325,8,group2,0.9382769,0.61483735,0.7631892263889313,0.96864694
CA_17325,9,group2,1.0363438,0.6511645,0.7382487952709198,1.0180098
CA_17325,10,group2,1.1422726,0.6855576,0.7112868130207062,1.0687715
CA_17338,1,group2,0.044597946,0.16096179,0.924406386911869,0.21118225
CA_17338,2,group2,0.06549147,0.19289409,0.8883170038461685,0.25591302
CA_17338,3,group2,0.08654198,0.2168635,0.8515311181545258,0.29418018
CA_17338,4,group2,0.107278064,0.23591973,0.8148979991674423,0.3275333
CA_17338,5,group2,0.12508598,0.2501054,0.7829833328723907,0.35367498
CA_17338,6,group2,0.13436046,0.25709295,0.7656458765268326,0.3665521
CA_17338,7,group2,0.14648391,0.26623422,0.7432880699634552,0.38273218
CA_17338,8,group2,0.16288151,0.2791796,0.7131244838237762,0.40358582
CA_17338,9,group2,0.17924868,0.29157656,0.6826291382312775,0.4233777
CA_17338,10,group2,0.19449116,0.3032614,0.653780460357666,0.44101152
CA_17344,1,group2,0.020269653,0.090665996,0.8321559429168701,0.14237154
CA_17344,2,group2,0.029413454,0.111444294,0.7568283677101135,0.17150351
CA_17344,3,group2,0.036126025,0.12786648,0.7018929421901703,0.19006847
CA_17344,4,group2,0.040444188,0.13890672,0.6670483946800232,0.2011074
CA_17344,5,group2,0.043582167,0.14603396,0.6422060430049896,0.20876342
CA_17344,6,group2,0.047026,0.15185244,0.6148057579994202,0.2168548
CA_17344,7,group2,0.05118229,0.15794262,0.5816610455513,0.22623503
CA_17344,8,group2,0.05373518,0.16403797,0.5609623193740845,0.2318085
CA_17344,9,group2,0.057561673,0.17187732,0.5298537313938141,0.23992014
CA_17344,10,group2,0.060857516,0.17850514,0.5028846561908722,0.24669316
CA_17462,1,group2,0.002723638,0.02916668,0.9499668590724468,0.052188486
CA_17462,2,group2,0.00612776,0.042482372,0.8872156888246536,0.07828001
CA_17462,3,group2,0.009280186,0.054045796,0.8288795202970505,0.09633372
CA_17462,4,group2,0.012218828,0.064538606,0.7743065059185028,0.11053881
CA_17462,5,group2,0.015192513,0.07507026,0.7188986837863922,0.12325791
CA_17462,6,group2,0.018004611,0.08541547,0.6662440299987793,0.13418126
CA_17462,7,group2,0.020360142,0.09395528,0.6219573020935059,0.14268897
CA_17462,8,group2,0.022784894,0.10272341,0.5762057602405548,0.15094666
